Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,150.0,291601,1e-20,1e-05,202.2275644071844,0.5722591399188941
0,150.0,291601,1e-20,0.001,202.24181940890134,0.5722591399188941
0,150.0,246341,1e-20,0.001,202.24181940891592,0.5722591399188941
0,150.0,513692,1e-20,0.001,202.2418194090187,0.5722591399188941
0,150.0,766659,1e-20,0.001,202.24181940898953,0.5722591399188941
0,150.0,766659,0.01,0.001,172.45670054079034,0.5722591399188941
0,150.0,766659,1e-06,0.001,2.2363954297156248,0.5722591399188941
0,150.0,766659,1e-09,0.001,98.8669791845556,0.5722591399188941
0,150.0,766659,1e-06,1e-16,2.2355036211713313,0.5722591399188941
0,150.0,671644,1e-06,1e-16,1.4436144795679036,0.5722591399188941
0,150.0,671644,1e-12,1e-16,202.07895533103078,0.5722591399188941
0,150.0,671644,1e-07,1e-16,8.99301351417734,0.5722591399188941
0,150.0,671644,0.01,1e-16,172.34045517753947,0.5722591399188941
0,150.0,671644,1e-19,1e-16,202.22742047105027,0.5722591399188941
0,150.0,434219,1e-19,1e-16,202.2274204791074,0.5722591399188941
0,150.0,434219,1e-20,1e-16,202.22742042738545,0.5722591399188941
0,150.0,711093,1e-20,1e-16,202.2274204273563,0.5722591399188941
0,150.0,711093,1e-18,1e-16,202.22742028511573,0.5722591399188941
0,150.0,892450,1e-18,1e-16,202.22742017120996,0.5722591399188941
0,150.0,892450,1e-20,1e-16,202.22742042759094,0.5722591399188941
0,150.0,887310,1e-20,1e-16,202.22742042759094,0.5722591399188941
0,150.0,887310,1e-17,1e-16,202.22741839457868,0.5722591399188941
0,150.0,887310,1e-11,1e-16,200.27057474631602,0.5722591399188941
0,150.0,609224,1e-11,1e-16,200.88280250002552,0.5722591399188941
0,150.0,609224,1e-12,1e-16,202.09275073935993,0.5722591399188941
0,150.0,950953,1e-12,1e-16,202.01723135760577,0.5722591399188941
0,150.0,950953,1e-12,1e-19,202.01723135760577,0.5722591399188941
0,150.0,950953,1e-12,0.01,202.1244055435955,0.5722591399188941
0,150.0,950953,1e-12,0.0001,202.01867052510843,0.5722591399188941
0,150.0,950953,1e-18,0.0001,202.2288600169317,0.5722591399188941
0,150.0,950953,1e-18,0.01,202.3363066201883,0.5722591399188941
0,150.0,831658,1e-18,0.01,202.33630659016742,0.5722591399188941
0,150.0,831658,1e-18,1e-07,202.2274216123162,0.5722591399188941
1,112.5,831658,1e-12,1e-07,202.04359437569906,0.5722591399188941
1,112.5,1000000,1e-12,1e-07,202.00639499007767,0.5722591399188941
1,112.5,1000000,1e-12,1e-07,202.00639499007767,0.5722591399188941
1,112.5,1000000,1e-12,1e-07,202.00639499007767,0.5722591399188941
1,112.5,1000000,1e-11,1e-07,202.00639499007767,0.5722591399188941
1,112.5,1000000,1e-12,0.001,202.02078579554728,0.5722591399188941
1,112.5,1000000,1e-06,0.001,2.9831868595912296,0.5722591399188941
1,112.5,1000000,1e-06,1e-19,2.904222502098068,0.5722591399188941
1,112.5,1000000,1e-20,1e-19,202.22742042759094,0.5722591399188941
1,112.5,1000000,1e-06,1e-20,202.22742042759094,0.5722591399188941
1,112.5,1000000,1e-06,1e-15,2.8978281571883158,0.5722591399188941
1,112.5,100000,1e-06,1e-15,2.554401412042822,0.5722591399188941
1,112.5,100000,1e-06,1e-09,2.6266477549706613,0.5722591399188941
1,112.5,100000,1e-06,1e-06,2.556363219412273,0.5722591399188941
1,112.5,100000,1e-09,1e-06,179.66103894821526,0.5722591399188941
1,112.5,100000,0.0001,1e-06,7.85702996319709,0.5722591399188941
1,112.5,100000,1e-05,1e-06,17.69269879144896,0.5722591399188941
1,112.5,100000,1e-05,1e-20,17.695860376563065,0.5722591399188941
1,112.5,100000,1e-17,1e-20,202.22742020732886,0.5722591399188941
1,112.5,884625,1e-17,1e-20,202.2274183941741,0.5722591399188941
1,112.5,884625,1e-14,1e-20,202.22546462387572,0.5722591399188941
1,112.5,100000,1e-14,1e-20,202.2271993382084,0.5722591399188941
1,112.5,100000,1e-14,1e-20,202.2271993382084,0.5722591399188941
1,112.5,724745,1e-14,1e-20,202.22581808854025,0.5722591399188941
1,112.5,860119,1e-14,1e-20,202.2255188035055,0.5722591399188941
1,112.5,100000,1e-14,1e-20,202.2255188035055,0.5722591399188941
1,112.5,860119,1e-14,1e-16,202.2255188035055,0.5722591399188941
1,112.5,860119,0.01,1e-16,172.34045517753947,0.5722591399188941
1,112.5,860119,1e-16,1e-16,202.2274014147467,0.5722591399188941
1,112.5,1000000,1e-16,1e-16,202.22739832200642,0.5722591399188941
1,112.5,1000000,1e-17,1e-16,202.22741822261864,0.5722591399188941
1,112.5,1000000,1e-20,1e-16,202.22742042759094,0.5722591399188941
1,112.5,1000000,1e-20,1e-16,202.22742042759094,0.5722591399188941
1,112.5,929923,1e-20,1e-16,202.22742042759094,0.5722591399188941
1,112.5,929923,1e-20,1e-09,202.2274204419889,0.5722591399188941
1,112.5,755249,1e-20,1e-09,202.22742044175422,0.5722591399188941
1,112.5,937028,1e-20,1e-09,202.2274204419889,0.5722591399188941
1,112.5,681169,1e-20,1e-09,202.22742044175422,0.5722591399188941
1,112.5,681169,1e-20,1e-16,202.2274204273563,0.5722591399188941
1,112.5,807035,1e-20,1e-16,202.2274204273563,0.5722591399188941
1,112.5,807035,1e-20,1e-17,202.2274204273563,0.5722591399188941
1,112.5,807035,1e-17,1e-17,202.22741864589202,0.5722591399188941
1,112.5,807035,1e-17,0.01,202.3363050600094,0.5722591399188941
1,112.5,807035,1e-17,1e-09,202.22741866029003,0.5722591399188941
1,112.5,553670,1e-17,1e-09,202.22741917546202,0.5722591399188941
1,112.5,553670,1e-17,1e-14,202.22741916106418,0.5722591399188941
1,112.5,351736,1e-17,1e-14,202.22741964948597,0.5722591399188941
1,112.5,351736,1e-17,1e-15,202.22741964948582,0.5722591399188941
1,112.5,553058,1e-17,1e-15,202.22741916527738,0.5722591399188941
1,112.5,847333,1e-17,1e-15,202.22741853301417,0.5722591399188941
1,112.5,847333,0.01,1e-15,172.3139703932298,0.5722591399188941
1,112.5,878928,0.01,1e-15,172.3139703932298,0.5722591399188941
1,112.5,878928,1e-06,1e-15,1.960444538425541,0.5722591399188941
1,112.5,1000000,1e-06,1e-15,1.960444538425541,0.5722591399188941
1,112.5,878928,1e-06,1e-14,1.9575379805920967,0.5722591399188941
1,112.5,937598,1e-06,1e-14,2.66100395254446,0.5722591399188941
1,112.5,937598,1e-18,1e-14,202.2274202135916,0.5722591399188941
1,112.5,937598,1e-11,1e-14,200.15996459477518,0.5722591399188941
1,112.5,726484,1e-06,1e-14,1.6391170797201418,0.5722591399188941
1,112.5,637121,1e-06,1e-14,1.412305671311211,0.5722591399188941
1,112.5,685029,1e-06,1e-14,2.0682157884547343,0.5722591399188941
1,112.5,711512,1e-06,1e-14,1.6518523293144787,0.5722591399188941
1,112.5,711512,1e-06,1e-12,2.0980426916022434,0.5722591399188941
1,112.5,711512,1e-05,1e-12,19.633056748114935,0.5722591399188941
1,112.5,711512,1e-05,1e-18,19.292985076008367,0.5722591399188941
1,112.5,704960,1e-05,1e-18,19.268663525231858,0.5722591399188941
1,112.5,704960,0.01,1e-18,172.3422523503735,0.5722591399188941
1,112.5,428054,0.01,1e-18,172.3422523503735,0.5722591399188941
1,112.5,428054,0.01,1e-14,172.20247585891377,0.5722591399188941
