Number of Temperature Reductions,Current Temperature,C,gamma,epsilon,Metric,Best Metric
0,100.0,998797,1e-14,1e-10,202.22521221260803,172.14672664123157
0,100.0,998797,1e-19,1e-10,202.2274205270082,172.14672664123157
0,100.0,998797,1e-19,1e-15,202.22742052556845,172.14672664123157
0,100.0,998797,1e-20,1e-15,202.22742042759094,172.14672664123157
0,100.0,998797,0.01,1e-15,172.3139703932298,172.14672664123157
0,100.0,688225,0.01,1e-15,172.3139703932298,172.14672664123157
0,100.0,860934,0.01,1e-15,172.3139703932298,172.14672664123157
0,100.0,860934,1e-16,1e-15,202.2274013982645,172.14672664123157
0,100.0,860934,1e-14,1e-15,202.2255170037257,172.14672664123157
0,100.0,860934,1e-16,1e-15,202.2255170037257,172.14672664123157
0,100.0,860934,1e-20,1e-15,202.22742042759094,172.14672664123157
0,100.0,1000000,1e-20,1e-15,202.22742042759094,172.14672664123157
0,100.0,1000000,1e-15,1e-15,202.22719933826176,172.14672664123157
0,100.0,1,1e-15,1e-15,202.22742042695882,172.14672664123157
0,100.0,1,1e-12,1e-15,202.22742042695882,172.14672664123157
0,100.0,1,1e-15,1e-08,202.22742057093865,172.14672664123157
0,100.0,1,1e-19,1e-08,202.22742057115983,172.14672664123157
0,100.0,835899,1e-19,1e-08,202.22742061344073,172.14672664123157
0,100.0,835899,1e-19,1e-05,202.2275644493772,172.14672664123157
0,100.0,835899,1e-16,1e-05,202.2275459325491,172.14672664123157
0,100.0,680024,1e-16,1e-05,202.22754935917146,172.14672664123157
0,100.0,1,1e-16,1e-05,202.2275644070741,172.14672664123157
0,100.0,829817,1e-16,1e-05,202.2275460608384,172.14672664123157
0,100.0,829817,1e-20,1e-05,202.22756440727258,172.14672664123157
0,100.0,438873,1e-20,1e-05,202.2275644073017,172.14672664123157
0,100.0,613186,1e-20,1e-05,202.22756440727258,172.14672664123157
0,100.0,424513,1e-20,1e-05,202.2275644071844,172.14672664123157
0,100.0,551113,1e-20,1e-05,202.22756440727258,172.14672664123157
0,100.0,551113,1e-20,0.01,202.33630684903446,172.14672664123157
0,100.0,551113,1e-20,1e-08,202.22742057133607,172.14672664123157
0,100.0,212223,1e-20,1e-08,202.22742057120382,172.14672664123157
0,100.0,301927,1e-20,1e-08,202.22742057124788,172.14672664123157
0,100.0,301927,1e-20,1e-05,202.2275644071844,172.14672664123157
